Clue,Expected Answer,Wikipedia Page Title,Title Match,Content Match,Searched Wikipedia Titles
Reveal,leton,Characters of the Marvel Cinematic Universe: A–L,False,True,"JSTOR, Gender reveal party, Reveal (narrative), Reveal (rapper), Reveal Fantasia, Reveal Records, Reveal (carpentry), The Revealed, Beauty Revealed, Fog Reveal, Women, Fire, and Dangerous Things, Muvee Reveal, Reveal (R.E.M. album), Rama Revealed, Reveal (podcast), Time Will Reveal (song), The Revealers, Reveal Computer Products, Time Will Reveal, Marvel Cinematic Universe, Reveal (The Boyz album), Brad Silberling, Stranger Things, Edward Snowden, Revealed preference, Characters of the Marvel Cinematic Universe: M–Z, Reveal (Roxette song), Glossary of professional wrestling terms, Call of Duty: Infinite Warfare, Gender Reveal Fire, Drayneflete Revealed, Theology, Bob Zmuda, The Space Gods Revealed, Reveal (Fischer-Z album), The Center for Investigative Reporting, Magnoliidae sensu Chase & Reveal, Marvel Cinematic Universe: Phase Five, DC Extended Universe, An Immense World, List of recurring The Simpsons characters, Ramadan, Billboard Year-End Hot 100 singles of 1978, Revelation, List of characters in the Breaking Bad franchise, Scratch to Reveal, Characters of the Marvel Cinematic Universe: A–L"
Checked item for some travelers,visa,Visa policy of Thailand,True,True,"Customs law of Thailand, AirTag, Baggage, Lost luggage, American entry into Canada by land, Basic economy class, Hand luggage, Vignette (road tax), United States border preclearance, Balikbayan box, Airport security, John Martin Scripps, Assistance for airline passengers with disabilities, NEXUS, Transportation Security Administration, Customs, Genshin Impact, Long-distance Amtrak routes, Inflight smoking, Security repercussions due to the 2006 transatlantic aircraft plot, No Fly List, Airline booking ploys, Economy class, Egyptian cultural dress, Spirit Airlines, Paper money, San Antonio Public Library, 2023 Hawaii wildfires, Tabard Inn Library, History of radiation protection, Airline reservations system, Alaska Airlines, Skybus Airlines, Security theater, Malaysia Airlines Flight 370, Visa policy of Thailand, Solomon, Laser printing, United Airlines, Automated border control system, Gunfight at the O.K. Corral, Andrew Jackson and the slave trade in the United States, Taxation in Germany, List of hazing deaths in the United States, Anthropodermic bibliopegy, Grantley Adams International Airport, Chappaquiddick incident, PolitiFact, Richard H. Barter, Alan Lomax"
___-ready,oven,Glossary of nautical terms (M–Z),False,True,"Top Gear challenges, EastEnders, Foreign involvement in the Russian invasion of Ukraine, List of Shaun the Sheep episodes, List of Prison Break characters, Scuba diving, Glossary of French words and expressions in English, WandaVision, History of video games, 3D printing, Matt Cardona, List of Orange Is the New Black characters, Minecraft, Dogs of the Australasian Antarctic Expedition, List of The Osbournes episodes, Leave It to Bryan, Glossary of nautical terms (A–L), Aaron Rodgers, Lockheed Martin F-35 Lightning II procurement, Glossary of nautical terms (M–Z), Ready or Not, ...Ready for It?, Shovel ready, Jodi Are U Ready, Ready Reserve, Get Ready, I Am Ready, Warden, Ready Player One (film), Ready to Be World Tour, Ready Player One, Ready or Not (2019 film), I'm Ready, Ready to Be, Rough and Ready, Ready 5, Ready for This?, Ready-to-wear, Paul Ready, Meal, Ready-to-Eat, Ready Player Two, Are You Ready, Always Ready, Ready (2011 film), Michael Buffer, IF Ready, Ready to Die, Ready for This, Denikaina Ready, Dinners Ready, Ready (surname), Ready for the World, Rough and Ready (album), Ready (2008 film), When I'm Ready, Club Always Ready, Individual Ready Reserve, Ready or Not (video game), Ready-mix concrete, List of Saturday Night Live cast members, Ready set go, Ready Brek, Manaivi Ready, Ready-to-assemble furniture, Ready to Rumble, Dior, People Get Ready, Case-ready meat, David Ready, Ready-to-Learn"
Outer layer,coat,Hydra (genus),False,True,"Cerebral cortex, Roof, Multi-layer insulation, Solar System, Cortex (anatomy), Trophoblast, Germ layer, Mohorovičić discontinuity, Calvaria (skull), Romesco, Star, Mesoderm, Layered clothing, Tunica intima, Retina, Arthropod exoskeleton, Adventitia, Thermal Micrometeoroid Garment, Fruit, Stratified squamous epithelium, Dermis, Passivation (chemistry), Outer plexiform layer, Lamington, Gore-Tex, Synovial joint, Human embryonic development, Planetary core, Gas giant, Outer Plane, Berry (botany), Sclera, Cortex (botany), Core–mantle boundary, Pericardium, Epidermis, Peel (fruit), Cuticle, Optimal solutions for the Rubik's Cube, Ectoderm, Lateral plate mesoderm, Aloha Airlines Flight 243, Kimono, Melon (cetacean), Hydra (genus), Nacre, Seborrheic keratosis, Cardiac muscle, Matryoshka doll, Cortex"
Linocuts and such,art,List of art media,True,True,"Linocut, John Muafangejo, Gail Brodholt, Cyril Power, Linoleum, Printmaking, Ethel Spowers, Sonia Romero, Jim Dine, Edith Lawrence, Patrick O'Connell (actor), Dance (Matisse), Haren Das, Sahaj Path (book), Sonia Gutiérrez, List of art media, Sybil Andrews, Green Lung, Frank Weitzel, Tom Killion (artist), Fear of the dark, Grace Albee, Nandalal Bose, Underneath the Colours, Remai Modern, Mark Hearld, Jacek Soliński, Angie Lewin, List of art techniques, Wayzgoose Press, Margaret Taylor-Burroughs, Nancy Bolton, Relief printing, Clare Melinsky, Grosvenor School of Modern Art, Amphetamine Reptile Records, Robert Gillmor, Clipping (morphology), Lill Tschudi, Robert E. Howard, Paul Landacre, Linoleum (disambiguation), Horace Brodzky, Ángel Botello, LeConte Stewart, Gwen Frostic, Kickshaws, Frances Gearhart, Noel Counihan, G. W. Bot, List of works of Herschel C. Logan, Sultana's Dream, Frederick Douglass, Fine art, Architect, Linseed oil, Valenti Angelo, Futurism, Shaun Tan, Indigenous Australian art, Sun and Moon (Inuit myth), Margaret Preston, Wordless novel, YWCA, Elizabeth Catlett, Alexandru Bassarab, Georg Baselitz, Palle Nielsen, Anne Desmet, Leon Underwood"
Without a doubt,byfar,No Title Match,False,False,"10 Tracks to Echo in the Dark, No Doubt (No Doubt album), Marcia Clark, No Doubt, Said Hanrahan, Watcher (film), Lindsey Normington, The Most Dangerous Animal in the World, Amazing Grace, Black Sheep (group), Return of Saturn, Doubt (2008 film), Non-Fiction (Black Sheep album), Erogenous zone, Ben Gleib, Jim O'Brien (reporter), Sans aucun doute, Bertrand Cantat, Gavin de Becker, Jungle (2017 film), A History of Violence, Henni Zuël, Lloyd Seay, We shall fight on the beaches, Miriam Jiménez Román, The Beacon Street Collection, Bishōjo, Jamal Woolard, Jennifer Elise Cox, Harry Davenport (actor), Murder trial of O. J. Simpson, The Entertainment Capital of the World, Ivan the Terrible (Treblinka guard), Cartesian doubt, Keep the Faith (Faith Evans album), Anal sex, Dead on arrival, Mesoamerican pyramids, Gurudongmar Lake, Fear, uncertainty, and doubt, Budtameez, Nile Wilson, The Avengers (1998 film), Flags of the World (website), Kawaii metal, Maury (talk show), Orgasm, Jawar Mohammed, Hellraiser: Inferno"
___ Together (punny name for a hardware store),awl,No Title Match,False,False,List of video games notable for negative reception
Snickers piece?,teehee,No Title Match,False,False,"Danny Pudi, Curly Wurly, Mars Nederland, Coherence (film), Joan Collins, Rowan Atkinson, Inazuma Eleven (TV series), The Uninvited (2009 film), Noize MC, Hudson Hawk, Bobby Sherman, Jabberwocky, Attack on Titan, Jürgen Klopp, Sufjan Stevens, Cowboy Carter, The Conqueror (1956 film), H. B. Reese, Late Night with Jimmy Fallon, Candy bar, Greek salad, Television advertisement, Hunger (2008 film), Elton John, Deliver Us from Evil (2014 film), Godzilla (2014 film), Miller's Crossing, Indiana Jones and the Kingdom of the Crystal Skull, Close Encounters of the Third Kind, Don't Breathe 2, Sally Bowles, List of Super Bowl commercials, Monokini, Hershey, Pennsylvania, Conan the Barbarian (1982 film), Confectionery, Collateral Damage (2002 film), Hiro Shimono, Wacky Races (1968 TV series), Heather Mills, List of Teenage Mutant Ninja Turtles characters, Dick Dastardly, Bullet for My Valentine, Beavis and Butt-Head"
Didn't do the right thing,erred,Left 4 Dead 2,False,True,"Red Moon (The Call album), I Am Kloot, Jizya, Left 4 Dead 2, Rishtey (TV series)"
Hot,onaroll,No Title Match,False,False,"Hot Hot Hot (Arrow song), Hot Hot Hot, Hot Hot Heat, Hot or Not, Hot Hot Hot!!!, Hot Hot Hot (meme), Billboard Hot 100, Hot dog, Red Hot Chili Peppers, Hot Wheels, Hot to Go!, Hot potato, Hotspot, Hot Fuzz, Hot game, Flamin' Hot, Hot toddy, Hot Hot Hot (film), Hot Ones, Hot hand, Hot plate, Hot pot, Hot Bird, Hotshot, Hot Boys, Hot Girl, Hot in It, List of Billboard Hot 100 chart achievements and milestones, The Hot Chick, Hot swapping, Hot in Herre, Into the Hot, Hot pursuit, Hot-wiring, The Hot Zone, Hotness, Hot Fuss, Hot reading, Hot chocolate, Lists of Billboard number-one singles, Hot Potato, Hot Chocolate, Hot Topic, Nicki Minaj, Hot rod, One-hot, Ariana Grande, Hot racking"
Get rid of,shed,Capital asset pricing model,False,True,"List of Nova episodes, Batman (1966 film), Georgina Sparks, Calvin and Hobbes, 86 (term), Longtaitou Festival, Spitting, Trasgu, Split infinitive, Nis Puk, Hickey, Phlegm, List of The Munsters characters, Fungus gnat, Countess Vaughn, Believe Me: The Abduction of Lisa McVey, List of private military contractors, Murders of Joel and Lisa Guy, Abolition of time zones, Aditya Dhar, Mupirocin, Black Disciples, How to Get Rid of Cellulite, Little Bites, List of The Lion King (franchise) characters, Wall Street crash of 1929, Aṅgulimāla, Anveshi Jain, Narayan nagbali, Margaret Howe Lovatt, Tichu, Endorheic lake, Mordred, Uno (card game), List of systems of the human body, Earworm, Taxi (1998 film), Coherence (film), Soap opera effect, Spit (card game), Mao (card game), Flag of North Macedonia, Let's Get Married (2023 film), Amédée, or How to Get Rid of It, Forks (The Bear), Whot!, Dudleytown, Connecticut, Glinda, Oriental cockroach, Speed (card game), Capital asset pricing model"
"""Alas!""",tisapity,No Title Match,False,False,"Alas language, ALAS Foundation, Alas (surname), Alas, Babylon, Ai-Ai delas Alas, ALAS (missile), Alas people, José Inocencio Alas, Alas (geography), Aluminium arsenide, Ninth Belgrade Gymnasium, Somos Región Colombia, Kevin Alas, Mert and Marcus, Leopoldo Alas, Antonio de la Rúa, Alas Building, Alas Administrative Post, Banco Alas, Mel Alas, Caged Wings, Dennis Alas, Alas Alvarez, Universidad Alas Peruanas, Alas (American band), Alas-Dose, Birgenair Flight 301, Alas de Oro, Mihailo Petrović Alas, Alas (Argentine band), Jaime Alas, Louie Alas, Arnold Alas, Nurse with Wound, Alas, I Cannot Swim, Mel Smith, Mickey 17, Yorick, Eduardo Alas Alfaro, Alas Smith and Jones, Alas Nacionales, Alash Autonomy, A Very Old Man with Enormous Wings, Esteban de las Alas, AlasNoAxis, Cup of Joe (band)"
Commercial success,adsale,No Title Match,False,False,"List of Super Bowl commercials, Business models for open-source software, List of Falcon 9 and Falcon Heavy launches (2010–2019), Yash (actor), Steve Jobs, Linda Chung, The Kid Laroi, Moneybagg Yo, Asbury Park, New Jersey, Nina Girado, Independent film, Jeff Bezos, Jim Henson, 2012 in science, Freeport, New York, Carole King, John Fogerty, Elaine Chao, A Bug's Life, Super League, Elvis Presley, Twitter, Blackpink, Compact Cassette, Hoodwinked!, Shakira, Crash (2004 film), LeBron James, Hande Yener, The Lego Movie, Joe Biden, Women in aviation, Lithuania, Pacific Rim (film), Lindsey Stirling, John Ford, Sheena Easton, Titanic (1997 film), Jayne Mansfield, Obi-Wan Kenobi (miniseries), Yellowjackets (TV series), Fiji, The Miseducation of Lauryn Hill, Eminem, Anthony Perkins, Public image of Taylor Swift, Megalopolis (film), John Lennon, Nightcrawler (film), 1980s, Dhanush, Hrithik Roshan, Kajal Aggarwal, Suriya, Rashmika Mandanna, Allu Arjun, Tamannaah Bhatia, Trisha Krishnan, Rajkummar Rao, Akshaye Khanna, Bipasha Basu, Emraan Hashmi, Shruti Haasan, Aashirvad Cinemas, Rajkumar Santoshi, Chris Hemsworth, Abhishek Kapoor, Vijay (actor), Chief commercial officer, Dev (Bengali actor), Venkatesh (actor), Jeet (actor), Anushka Shetty, David Lee Roth, Nani (actor), Ram Pothineni, Ajith Kumar filmography, Paul W. S. Anderson, Allu Arjun filmography, Asin, The Kinks, Trisha Krishnan filmography, Mammootty, Yami Gautam, Deepu Karunakaran, Samantha Ruth Prabhu, Glam metal, Jisshu Sengupta, Sandeep Reddy Vanga, Fahadh Faasil, The J. Geils Band, The Romantics, Imtiaz Ali (director), Prithviraj Sukumaran, Kunchacko Boban, Jiiva, Ravi Teja, Shahid Kapoor filmography, Christian Bale filmography"
One of 768 in a 35-Across: Abbr.,tsp,No Title Match,False,False,"Orders of magnitude (length), Algeria, List of Latin phrases (full), Newfoundland and Labrador, Magnetic resonance imaging"
Overseas rate: Abbr.,kph,No Title Match,False,False,"Pound sterling, European Union value added tax, Death sentence with reprieve, Ontario, Hong Kong, New Popular Front, Quebec, Real estate appraisal, Gwoyeu Romatzyh, Crime in Switzerland, Education in Japan, September 11 attacks, Algeria, Bromsgrove School, Student suicides in Hong Kong, Alberta, Dutch East India Company, Trade Adjustment Assistance, Debit card, West Bengal, Identity document, History of slavery, British Columbia, IG Farben, Newfoundland and Labrador, Royal Malaysian Customs Department, Prince Edward Island, Royal Malaysia Police, Intermodal container, 2016 Croatian parliamentary election, German radio intelligence operations during World War II, B-Dienst, Research Office of the Reich Air Ministry, Cipher Department of the High Command of the Luftwaffe"
Commotion,hullabaloo,No Title Match,False,False,"Emotion & Commotion, Commotion Wireless, Causing a Commotion, Start the Commotion, Fuji House of Commotion, Commotion (song), Commotion (animation), Dan Phillips (builder), Meet the Robinsons, Commotion on the Ocean, Lloyd Cole and the Commotions, 1989 Tiananmen Square protests and massacre, Lloyd Cole discography, Hulchul (2004 film), Bawaal, Lloyd Cole, Kunle Bamtefa, Frank Sinatra, California Commotion, Vidaamuyarchi, Leonard Cohen, Disappearance of Madeleine McCann, Columbine High School massacre, Commotion (radio show), Sedition, Lost Weekend (song), Wyatt Earp, New America (organization), Rattlesnakes (album), Leon Trotsky, Sola Onayiga, Princess Margaret, Countess of Snowdon, Bhopal disaster, Perfect Skin (Lloyd Cole and the Commotions song), Green River (album), John Njamah, Determined: A Science of Life Without Free Will, King Kong Company, The Wiseguys, Tour de France: Unchained, Anne, Queen of Great Britain"
Count against?,nays,No Title Match,False,False,"Admiral (United States), Over (cricket), Poker probability, Homegrown Player Rule (MLS), Razz (poker), Waivers (NHL), NCAA Division I FBS rushing leaders, List of legally mononymous people, Redshirt (college sports), Count von Count, Ohio House of Representatives, Practice squad, Canasta, Russell's teapot, Count Orlok, Long count, Compliance buyout, The Count of Monte Cristo (2024 film), Injured reserve list, Minor League Baseball rosters, 1323–1328 Flemish revolt, NCAA Division I FBS receiving leaders, 1996 BYU Cougars football team, The Count of Monte Cristo (2024 TV series), Count Dracula, Count Binface, Developmental roster, Andrea Constand v. Bill Cosby, Foul (basketball), Rage Against the Machine, Empty net goal, Over time limit, White blood cell differential, Generation Adidas, Wake Forest Demon Deacons football statistical leaders, Lowball (poker), United States v. Guzmán, Frederick II, Count of Zollern, The Count of Monte Cristo, O. J. Simpson robbery case, Louisville Cardinals football statistical leaders, List of Northwest League team rosters, List of Carolina League team rosters, William I, Count of Eu, Thomas de Mahy, Marquis de Favras, Moe incest case, NCAA Division I FBS passing leaders, Complete blood count, Pass (military), Larry Stahl"
Screening sites,labs,Hot Docs Canadian International Documentary Festival,False,True,"TeenScreen, Colorectal cancer, Life Line Screening, Virtual screening, TamilRockers, Breast cancer screening, Background check, Audiology and hearing health professionals in Brazil, St. Agnes Hospital (Baltimore), Two-hybrid screening, Prenatal testing, Photovoltaic power station, Airport security, Initial Flight Training, List of Solo Leveling episodes, Jalan Besar Stadium, Canada security clearance, Aphasia, Health fair, Midnight movie, Sequence-tagged site, Prostate cancer, PHQ-9, Multiple cloning site, Lung Cancer Alliance, Earth Impact Database, Public viewing, Liver transplantation, Mobile Mail-Screening Station, Wicked (2024 film), Smoke screen, Mantoux test, Hot Docs Canadian International Documentary Festival, Blue–white screen, Examinetics, VK (service), Solo Leveling season 2, Bluecrest Wellness, Cervical cancer, A Serbian Film, Kumbh Mela, Cobra Kai, Unforgotten, Transportation Security Administration, Pakistan, Indonesia, Iran, Human papillomavirus infection"
One whose work is always cropping up?,farmer,Benito Mussolini,False,True,"Crop circle, Regenerative agriculture, Ghetto (play), Mahatma Gandhi, Buffy the Vampire Slayer, List of Viz comic strips, Jewish customs of etiquette, Dua Lipa, Ghosts (American TV series), R.E.M., Tibet, Golden ratio, George Washington Carver, Tractor, Israel, Callum Turner, Kylie Jenner, List of sundown towns in the United States, The Simpsons, Generative artificial intelligence, Dora Carrington, Rashtrakuta Empire, Atrocities in the Congo Free State, United States, Winston Churchill, X-Men '97, List of The Hunger Games characters, Quicksort, Joker: Folie à Deux, The Sopranos season 3, The Matrix, Instagram, List of Lilo & Stitch characters, Dolores O'Riordan, Zimbabwe, Kate Bush, Friends, Anthony Hopkins, Michael J. Fox, United States Agency for International Development, John Fetterman, Indigenous peoples of the Americas, Great Famine (Ireland), Benito Mussolini, List of Jurassic Park characters, Nation of Islam, List of The Smurfs characters, Dominatrix, Richard Beckinsale, False or misleading statements by Donald Trump"
"Loser to ""The Shape of Water"" for Best Picture",ladybird,No Title Match,False,False,"Academy Award for Best Actress, Academy Award for Best Supporting Actress, Academy Award for Best Supporting Actor, 89th Academy Awards, List of awards and nominations received by Holly Hunter, List of awards and nominations received by Greta Gerwig, List of Academy Award records, Michael Stuhlbarg, Academy Awards, The Deer Hunter, It (2017 film), It (soundtrack), All Quiet on the Western Front (1930 film), List of The Biggest Loser Australia episodes, Kate Winslet, 2010s in culture, Kristen Bell, The Little Mermaid (2023 film), List of awards and nominations received by Jennifer Lopez, List of films considered the worst, Jane Fonda, Joe Biden, Paul Simon, Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Mad Max Beyond Thunderdome, The Lord of the Rings: The Rings of Power season 1, Erotic humiliation, American Cinema Editors Award for Best Edited Drama Series, List of Creepshow (TV series) episodes, False or misleading statements by Donald Trump, It (miniseries), Directors Guild of America Awards, Rock paper scissors, List of songs recorded by ""Weird Al"" Yankovic, Ghostbusters (2016 film), Kids Baking Championship, China–United States trade war, List of awards and nominations received by Taylor Swift, The Hunger Games: Catching Fire, Pirates of the Caribbean: On Stranger Tides, New York City, List of Mystery Science Theater 3000 episodes, The Suicide Squad (film), Donald Trump, Michael Caine, Royal Television Society Programme Awards, Meghan, Duchess of Sussex, Tartan, 2018 in film, List of awards and nominations received by Modern Family"
Some slumber party activity,girltalk,No Title Match,False,False,"United States, Southeast Asia, 2018 in science, Dropout (streaming service), Jeffree Star, V/H/S/2, Metaphor: ReFantazio, My Little Pony: Meet the Ponies, Botswana Democratic Party, V/H/S (franchise), Immanuel Kant, List of Berenstain Bears books, Koo Koo Kanga Roo, Instagram, Smallville season 3, Debra Winger, AwesomenessTV (TV series), The Vampire Armand, Christian mortalism, Night, Lindsey Vuolo, Pinkalicious & Peterrific, Paula Pell, Fire Emblem Engage, Malenia, Camp Lazlo, The Belgariad, Skins (British TV series), Old School RuneScape, Lunch (song), Veronica Lodge, Carlism, Lost Cause (Billie Eilish song), List of Cheers characters, List of teen films, Martin Heidegger and Nazism, Garry Kasparov, Nick Jr. Channel, List of Supernatural and The Winchesters characters, Characters of the Tekken series, Rosenberger v. University of Virginia, Real Littles Shopkins, The Baby-Sitters Club, Nationalist Clubs, White Rose"
"Caulks, e.g.",reseals,No Title Match,False,False,"G. Wallace Caulk Jr., Sealant, Silicone, Oakum, List of airports by IATA airport code: C, List of people with given name Michael, Polydimethylsiloxane, List of Chinese inventions, Robert E. Walls, Index of construction articles, Horseshoe, List of British regional nicknames, Burning of Washington, Pachira aquatica, Sherwin-Williams, List of monarchs by nickname, Bitumen, List of people from the London Borough of Hounslow, Battle of Adwa, Breadfruit, Dental dam, Silicone rubber, General Motors Building (Manhattan), Asbestos, Gladesville, Morebattle Hurdle, 2014–15 Liverpool F.C. season, Benzisothiazolinone, Hollyhock House, Rhoticity in English, Ethiopia, Austronesian vessels, Moronobea, Glossary of nautical terms (A–L), Belizean Creole, Index of fashion articles, Rosin, Butyl rubber, Austronesian peoples, Nail (fastener), Ancient Egypt, Pistol grip, Chewing gum, Seed, Chesterfield, Missouri, Silicon, Tow (fibre), Tongva, 'Abd Allah II ibn 'Ali 'Abd ash-Shakur, War of 1812"
A.I. on Discovery One,hal,Star Trek: Discovery season 2,False,True,"A Discovery of Witches (TV series), False discovery rate, Charlie McDowell, A Discovery of Witches, Discovery+, Land Rover Discovery, Warner Bros. Discovery, Star Trek: Discovery, Discovery I, Star Trek: Discovery season 5, Discovery Family, Portuguese discovery of the sea route to India, Age of Discovery, Discovery Channel, Discovery (law), Service discovery, Discovery of the tomb of Tutankhamun, List of Star Trek: Discovery characters, I (Almost) Got Away with It, Drug discovery, Discovery (Daft Punk album), Star Trek: Discovery season 3, Discovery of penicillin, Star Trek: Discovery season 4, Pope John Paul I, 243 Ida, Neil Armstrong, Discovery of chemical elements, I Have a Dream, Discovery of Brazil, Mike Rowe, List of One on One episodes, Discovery Program, Discovery Seamounts, Discovery of Neptune, Discovery of the neutron, Star Trek: Discovery season 1, Christopher Columbus: The Discovery, Space Shuttle Discovery, David Zaslav, Have I Been Pwned?, Pledge of Allegiance, James VI and I, Sonequa Martin-Green, Family-wise error rate, Ed Stafford, Association rule learning, List of assets owned by Warner Bros. Discovery, Discovery of Love, Star Trek: Discovery season 2"
Go (for),opt,GoGo Tomago,False,True,"Go go, Go for It, Go-go, Go-go dancing, The Go-Go's, Go, Diego, Go!, Go-go bar, Go Go Squid!, Go and no-go pills, Go Go Go, Go woke, go broke, Go-Go Museum, Go/no-go, Go God Go, Go, Cubs, Go, Go Princess Go, Go (game), Go for broke, Go/no-go gauge, Go-on, Go Go Tales, Whisky a Go Go, Go, Dog. Go!, Go A, No go, Go for It, Nakamura!, Go-go boot, Go Cat Go!, Go (Go album), Go! Go! Ackman, Capital City Go-Go, Go, Johnny, Go!, GO!GO!7188, Go Baby Go, Go! Go! Hypergrind, Go Trabi Go, Go, Stewie, Go!, Go! Go! Cory Carson, Go-Go Crankin', Go Go Go (Roy Orbison song), Pokémon Go, Chic-a-Go-Go, Go Go Gophers, Going to a Go-Go, Tori Go! Go!, There They Go-Go-Go!, Live at the Whisky a Go Go, GoGo Tomago, Go Lala Go!"
Vigorous exercise,cardio,Dyslipidemia,False,True,"Exercise-induced bronchoconstriction, Ptosis (breasts), National Voters' Day, Exercise prescription, Exercise intensity, Pregnancy, Physical activity, Weight class (boxing), Breast, Harlequin syndrome, Gastroesophageal reflux disease, Beagle, Exercise intolerance, Neurobiological effects of physical exercise, Compartment syndrome, Hyperhidrosis, Maternal health, Smooth Collie, Chengdu J-10, Human power, Thrombosis, Growth hormone, Syncope (medicine), Warming up, Hyperproteinemia, Exercise physiology, Graded exercise therapy, Aerobic exercise, Dabangg, Brachycephalic obstructive airway syndrome, Muscle fatigue, Palais Royale, Mumbai, Parkinson's disease, Parson Russell Terrier, Banyan (clothing), History of the papacy, Physical fitness, Bra, Transient global amnesia, Marathon, Urinary cast, Afterburn, Ujjayi, Prostate cancer, Gustav Mahler, Dyslipidemia, Yoga as exercise, Snapping hip syndrome"
Substantial,beefy,No Title Match,False,False,"Substantial truth, Substantial form, Substantial equivalence, Substantial similarity, Substantial disruption, Casualties of the Russo-Ukrainian War, Hypostatic union, Substantial part, Substantial Presence Test, Real and substantial connection, Substantial meal, Fascinator, Substantial performance, Substantial gainful activity, Substance theory, Substantial shareholdings exemption, Female ejaculation, Substantial certainty doctrine, Unfair dismissal in the United Kingdom, Arthur Schopenhauer, Cassandra Austen, Fellow of the Royal Society, Hylomorphism, 501(h) election, Material derivative, Gray v. Perry, A Substantial Gift (The Broken Promise), Metaphorical Music, Sergi López (actor), List of the largest software companies, E-2 visa, Rules of origin, Taarak Mehta Ka Ooltah Chashmah, Constitutional monarchy, Great Britain, List of countries by coffee production, 1928 German federal election, Substantial part (Canadian copyright law), Punji stick, Christoph Waltz, Mehak Malik, Winter War, Max Planck, MIT License, Google+, Academy Award for Best Original Score, United States Federal Sentencing Guidelines, Grasshopper Club Zurich, 11:11 (numerology)"
Titular Menotti opera character,amahl,1951,False,True,"List of The Little Mermaid adaptations, Michael Ching, 1951, Holy Week in Ruvo di Puglia"
"Singer Peniston with the 1991 top 5 hit ""Finally""",cece,Finally (CeCe Peniston song),True,True,"Finally (CeCe Peniston song), CeCe Peniston, Finally (CeCe Peniston album), 1991 in music, CeCe Peniston discography, We Got a Love Thang, Remix Collection (CeCe Peniston album), Finally / We Got a Love Thang: Remix Collection, Malaika (singer), Keep On Walkin' (song), List of awards and nominations received by CeCe Peniston, 1992 in British music, List of UK top-ten singles in 1992, Felipe Delgado (record producer), Just Another Day (Jon Secada song), The Wiz, 1992 in music, List of awards and nominations received by Madonna, Someday (CeCe Rogers song), Angel Dust (Faith No More album), Darryl Pearson, Hot Springs, Arkansas, Express Yourself (Madonna song), Matt Fishel, Spinning Around, List of Retail Singles number ones, List of gay anthems, Naval mine, WWJ-TV"
Opposite of relaxed,taut,Königsberg,False,True,"Cross-sex friendship, Crossed extensor reflex, List of The George Burns and Gracie Allen Show episodes, The Relaxed Wife, Junaid Khan (Indian actor), Reciprocal inhibition, Neoteny in humans, Timeline of women's legal rights (other than voting) in the 20th century, Hooke's law, Contrapposto, Relaxation (psychology), Claudia Cardinale, List of poems by William Wordsworth, List of Equinox episodes, List of Party of Five episodes, Bakugan: Armored Alliance, List of Deadliest Warrior episodes, DNA supercoil, Leopold's maneuvers, List of Swamp People episodes, Contemporary history of Spain, Cardiac cycle, Heterojunction solar cell, Marriage, List of Three's Company episodes, Königsberg, Reversing valve, Nightlife in Belgrade, Konpa, Spin-transfer torque, Good cover (algebraic topology), Tension (physics), Cybill Shepherd, List of My Three Sons episodes, List of 2023 FIFA Women's World Cup controversies, Jennifer Tilly, Compulsive decluttering, Robert De Niro, List of Annoying Orange episodes, History of foreign relations of the People's Republic of China, Runaway Scrape, Cross-dressing, Why (Sabrina Carpenter song), T–V distinction in the world's languages, Bruiser (bull), Reciprocal innervation, Sternocleidomastoid muscle, Akiyuki Shinbo, Millennium Park (Kolkata), Bossa nova"
Thereabouts,orso,No Title Match,False,False,"Lachlan Morton, 1695 Essex Witch Trial, Square kilometre, Vivien Leigh, Book of the Wars of the Lord, George Washington Carver, Alberic I of Spoleto, Great Fire of London, CPU socket, Concorde, Marinus I of Gaeta, Spar (aeronautics), Mein Kampf, Windmill at Zaandam, Huguenots, Constantine of Gaeta, Alberada of Buonalbergo, Gregory of Benevento, School Day of Non-violence and Peace, Pilsbury, Dreadnought (guitar type), Cobalt Hour, World Famous Bushman, Linge, Postmodernism, Black Cross (Hezekiah Jones), West Adelaide Football Club, Paul Robeson, News, Hugh IV of Lusignan, Varanasi, Weston by Welland, 1948 Arab–Israeli War, Black Stump, Richimund, Narga Selassie, Sic bo, Moscone–Milk assassinations, Padua"
